sender,recipient,date,end date
"Hooker, William Jackson","Henslow, J. S.",1825-09-09,1825-09-09
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Greville, R. K.","Henslow, J. S.",1827-11-04,1827-11-04
"Graham, Robert","Henslow, J. S.",1828-01-26,1828-01-26
"Hooker, William Jackson","Henslow, J. S.",1828-04-22,1828-04-22
"Greville, R. K.","Henslow, J. S.",1828-09-09,1828-09-09
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-10-12,1829-10-12
"Dalton, Revd James","Henslow, J. S.",1829-10-22,1829-10-22
"Dalton, Revd James","Henslow, J. S.",1829-10-22,1829-10-22
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Wilson, Edward","Henslow, J. S.",1831-01-03,1831-01-03
"Wedgwood, Hensleigh","Henslow, J. S.",1831-02-05,1831-02-05
"Wedgwood, Hensleigh","Henslow, J. S.",1831-02-05,1831-02-05
"Wedgwood, Hensleigh","Henslow, J. S.",1831-02-05,1831-02-05
"Wedgwood, Hensleigh","Henslow, J. S.",1831-02-05,1831-02-05
"Hooker, William Jackson","Henslow, J. S.",1831-02-14,1831-02-14
"Hooker, William Jackson","Henslow, J. S.",1831-02-14,1831-02-14
"Smith, G. E.","Henslow, J. S.",1831-04-06,1831-04-06
"Ward, James","Henslow, J. S.",1831-06-15,1831-06-15
"Ramsay, E. B.","Henslow, J. S.",1832-10-20,1832-10-20
"Horner, Leonard","Henslow, J. S.",1834-10-12,1834-10-12
"Jardine, William","Henslow, J. S.",1837-01-24,1837-01-24
"Henslow, J. S.","Baxter, William",1837-06-06,1837-06-06
"Hooker, J. D.","Henslow, J. S.",1845-11-24,1845-11-24
"Henslow, J. S. ","Hooker, William Jackson",1846-11-20,1846-11-20
"Henslow, J. S. ","Hooker, William Jackson",1846-11-20,1846-11-20
"Henslow, J. S. ","Hooker, William Jackson",1846-11-20,1846-11-20
"Daubeny, Charles","Henslow, J. S.",1847-07-02,1847-07-02
"Daubeny, Charles","Henslow, J. S.",1847-07-02,1847-07-02
"Henslow, J. S.","Hooker, J. D.",1847-10-30,1847-10-30
"Henslow, J. S.","Yates, James",1848-02-17,1848-02-17
"Sedgwick, Adam","Henslow, J. S.",1850-02-01,1850-02-01
"Horner, Leonard","Henslow, J. S.",1850-08-29,1850-08-29
"Hooker, J. D.","Henslow, J. S.",1851-03-27,1851-03-27
"Bowerbank, James Scott","Henslow, J. S.",1851-12-28,1851-12-28
"Henslow, J. S.","Martin, Thomas",1852-07-13,1852-07-13
"Henslow, J. S.","Martin, Thomas",1852-07-13,1852-07-13
"Bunbury, F. J.","Henslow, J. S.",1852-08-18,1852-08-18
"Henslow, J. S.","Whewell, William",1852-10-17,1852-10-17
"Henslow, J. S.","Sedgwick, Adam",1852-11-27,1852-11-27
"Henslow, J. S.","Sedgwick, Adam",1852-11-27,1852-11-27
"Henslow, J. S.","Sedgwick, Adam",1852-11-27,1852-11-27
"Bunbury, F. J.","Henslow, J. S.",1853-07-16,1853-07-16
"Dawes, Richard","Henslow, J. S.",1853-12-29,1853-12-29
"Henslow, J. S.","Gould, John.",1854-06-26,1854-06-26
"Bowerbank, James Scott","Henslow, J. S.",1855-02-05,1855-02-05
"Glaisher, James","Henslow, J. S.",1855-03-28,1855-03-28
"Henslow, J. S.",Lester,1855-06-25,1855-06-25
"Jenyns, Leonard","Henslow, J. S.",1855-06-27,1855-06-27
"Horner, Leonard","Henslow, J. S.",1855-09-24,1855-09-24
"Billing, Archibald","Henslow, J. S.",1855-11-22,1855-11-22
"Horner, Leonard","Henslow, J. S.",1856-04-13,1856-04-13
"Carpenter, William B.","Henslow, J. S.",1856-04-18,1856-04-18
"Henslow, J. S.","Jenyns, Leonard",1856-07-25,1856-07-25
"Horner, Leonard","Henslow, J. S.",1856-09-24,1856-09-24
"Carpenter, William B.","Henslow, J. S.",1856-11-13,1856-11-13
"Henslow, J. S.","Whewell, William",1857-04-07,1857-04-07
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Bell, Thomas","Henslow, J. S.",1857-08-01,1857-08-01
"Horner, Leonard","Henslow, J. S.",1857-09-12,1857-09-12
"Bunbury, Sir H.","Henslow, J. S.",1857-09-24,1857-09-24
"Carpenter, William B.","Henslow, J. S.",1857-11-13,1857-11-13
"Hooker, William Jackson","Henslow, J. S.",1857-12-20,1857-12-20
"Hooker, J. D.","Henslow, J. S.",1858-03-21,1858-03-21
"Ellis, William","Henslow, J. S.",1859-01-15,1859-01-15
"Jenyns, Leonard","Henslow, J. S.",1859-07-27,1859-07-27
"Carpenter, William B.","Henslow, J. S.",1859-08-03,1859-08-03
"Henslow, J. S.","Whewell, William",1860-01-26,1860-01-26
"Henslow, J. S.","Balfour, J. H.",1860-09-17,1860-09-17
"Henslow, J. S.","Macmillan's Magazine, Editor",1861-01-16,1861-01-16
